Madison Hughes	Meet Me in the Woods	gospel r&b	https://open.spotify.com/track/5nOfUtoglr5irhDdE2px0x
The Weepies, Deb Talan, Steve Tannen	River from the Sky	acoustic pop,ectofolk,neo mellow,boston folk,ectofolk	https://open.spotify.com/track/26IwXLBe51UhB6gaNOKwR6
Goodnight, Texas	Hypothermic	rebel blues	https://open.spotify.com/track/0qjF1qVQ2L15hG2aZUAWeK
Robot Koch, Finnegan Tui	In Between	wonky	https://open.spotify.com/track/5KJIJsnEaPdq2DeWlZOtSZ
Madalen Duke	Love into a Weapon	canadian electropop,dark r&b	https://open.spotify.com/track/2KCJghaTBHIvpUz8uqLQaf
Hiérophante	Timeline	future bass	https://open.spotify.com/track/40jbcGQJ5oRgnczPYlfh8s
Stileto, Madalen Duke	Dead Or Alive	dark r&b,canadian electropop,dark r&b	https://open.spotify.com/track/5s2fml0UCNpjs9eqamNjfZ
Madalen Duke	Born Alone, Die Alone	canadian electropop,dark r&b	https://open.spotify.com/track/7u7ZsOhRGuiV83mzunTjld
Madalen Duke	Talk Back	canadian electropop,dark r&b	https://open.spotify.com/track/1yJZGhbGQelqRcj70MKTcm
Madalen Duke	Knew It	canadian electropop,dark r&b	https://open.spotify.com/track/4vWJScAvCpTDF8MvbyWbHW
Madalen Duke	Part Goddess Part Gangster	canadian electropop,dark r&b	https://open.spotify.com/track/38J0uv51VZ8QjkPbM0F1VA
Madalen Duke	No F. E. A. R.	canadian electropop,dark r&b	https://open.spotify.com/track/0m4nLQaX0kimbtffuyL7Kd
Madalen Duke	Talking to Myself	canadian electropop,dark r&b	https://open.spotify.com/track/7LRFcZ3FrUe5QGUsBpB2PK
SABAI, Madalen Duke	Love For You	canadian electropop,dark r&b	https://open.spotify.com/track/7ao8imeoghP0rWSOrIJalv
Hiérophante	So Tore	future bass	https://open.spotify.com/track/4b0fNmgg4vT8PrDtdrK2KB
Blood Cultures	Glass	new jersey indie	https://open.spotify.com/track/3zxqy6gFxrAy0AvmU1zGx7
Tall Heights	Hear It Again	boston folk,folk-pop	https://open.spotify.com/track/2wQqHmiR1LXjwLICvRQUPG
The Weepies, Deb Talan, Steve Tannen	Be My Thrill	acoustic pop,ectofolk,neo mellow,boston folk,ectofolk	https://open.spotify.com/track/3sRhVdlcqX1ligWhAO880n
Simon, IOLITE	Only Human	indie electropop	https://open.spotify.com/track/4cFKI00tWDUXBuSaZUuVHj
Roses & Revolutions, Weathers	Dancing in a Daydream	bossbeat,pov: indie	https://open.spotify.com/track/1mm3bHWc3m0103Ai8gdC3R
Lucad, Disappeared, Elias O	Let's Play	dark r&b	https://open.spotify.com/track/5gfoa7z7cIqDEL2XHxeKYu
Paris Paloma	notre dame	singer-songwriter pop	https://open.spotify.com/track/4ni2PRjuIORNFXvWB74SqX
Jon Bellion	Morning In America	indie pop rap	https://open.spotify.com/track/2JXNOtb0ANe6MzgRYDQG2J
Tom Grennan	Little Bit of Love	uk pop	https://open.spotify.com/track/3Iba59sFmGhQ4kbCY5L8AX
Ryan Louder	Swim To Them	ambient worship	https://open.spotify.com/track/0T5NOOfdAURYGmwyi6Xekt
why mona	30 purple birds	la pop	https://open.spotify.com/track/5WifROPHw6arUwtuYnEAD3
jeremy messersmith	666	minneapolis indie	https://open.spotify.com/track/4vHXXggexukcfYgMkF3RJs
Madelline	dopamine	hyperpop	https://open.spotify.com/track/3EwCOs6Dh5tlsbIpvMjH4I
Roses & Revolutions	Big Bad Wolf	bossbeat	https://open.spotify.com/track/3QJ3gts5Qrh0TzoSoKd69G
Madelline	Participation Trophies	hyperpop	https://open.spotify.com/track/1lPcz78ga6HOCTzEjoy9EP
Madelline	On a Different Wave!	hyperpop	https://open.spotify.com/track/07LnlO6efG3J0M6jyjo2cl
Stileto, Liza	Pretend	dark r&b,dark r&b	https://open.spotify.com/track/3WYREYBjEmlijoPN2MVDd7
Stileto, Kendyle Paige	Cravin'	dark r&b,dark r&b	https://open.spotify.com/track/41qoLqCcn0X07B6XW9b28v
Gone Gone Beyond, Moontricks	Coast	folktronica,high vibe,folktronica,livetronica	https://open.spotify.com/track/53l8hswqklbWd7XXqDEMtq
Ivory Layne	Algorhythm	nashville singer-songwriter	https://open.spotify.com/track/4MWsGfqoy0erAe5zgsrBgl
Lola Blanc	Here Come the Wolves	alt z,modern alternative pop	https://open.spotify.com/track/6fe78LQMigHGzzzHBlc5hb
BURNS, Daughters Of The Deep, Madalen Duke	Nothing To Fear	canadian electropop,dark r&b	https://open.spotify.com/track/0WwnTWkJ0NnVbnRI4GhR4Z
VÉRITÉ	temporary	alt z,brooklyn indie,dark pop,electropop,indie poptimism,metropopolis,nyc pop,vapor pop	https://open.spotify.com/track/2UZ23yylRr0sZKZAhhWW6b
Matt Maeson	Hallucinogenics	pov: indie	https://open.spotify.com/track/6bLU8e0LGyztE9iD5DWBQ1
Marika Hackman	81	ambient folk	https://open.spotify.com/track/7DPLU15l5xBudz9M5Oq6qj
WE ARE FURY	Body Language	melodic dubstep,traprun	https://open.spotify.com/track/5oO3uDOrOH40dTli71WhKW
MOTHICA	nothing good happens after 2am	alt z,vapor soul	https://open.spotify.com/track/36yiFgjl9mvSgLWjwv0DS7
Denitia	All the Sweet Tea	neo r&b	https://open.spotify.com/track/7enD1e7nT5ZrywBS3W1SkI
Valerie Broussard	A Little Wicked	bossbeat,modern alternative pop	https://open.spotify.com/track/0ZPMI8Gnz7p6omBBIOwiO9
